,channel_id,video_id,publishedAt,title,description,viewCount,likeCount,commentCount
0,UCTFz3noLGUS4vsuJvObRtuw,LHNf2Dkb7sk,2018-11-13T13:28:33Z,Epic Drone views at Pangong lake| Leh chal ladakh mein Ep4 Nubra to Pangong | Traveling Mondays,"Aao, leh chale Ladakh mein: Pangong lake episode 04 
Get lost in the breathtaking drone views of Pangong Tso in a cinematic fun vlog.
In this episode, we are traveling to Pangong Tso from Nubra valley.
Pangong. we stayed there for a day, spent time doing stargazing and nailed some epic drone shots. 
In next Episode we are going back to old Manali, stay tuned
Book your Leh Trip with TRIPVER from Link Below
http://tripver.com/?ref=service.coolphi

Aap log hamesha puchte rehte ho, where i get music from?
finaly telling you today.
I use Epidemic sound for my videos it gives a complete different professional look to my video, and also i dont waste time in searching music everywhere. its affordable as well 15$ a month for unlimited music.
Get one month free subscription, By signing up from my link below.
http://share.epidemicsound.com/Tm

Big announcements, Come to join me on Instagram 
https://www.instagram.com/traveling_mondays/

I hope you have fun watching this.Share it to your friends & family .
Hit that Like button, smash the subsribe one.
How do you feel, Tell me in Comments?
Subscribe & Join Chill Community.
That's all for now.
See you next time :)

#pangonglake #LehLadakh #travelingmondays",2491136,60565,2702
1,UCTFz3noLGUS4vsuJvObRtuw,4VQJomBVrug,2020-05-29T02:38:54Z,"INDIAN'S LIFE NEAR BANGLADESH | DAWKI, UMNGOT RIVER | NORTHEAST INDIA : UNSEEN MEGHALAYA 05","http://share.mscbd.fm/travelingmonday
IN THIS EPISODE OF UNSEEN MEGHALAYA, I am virtually taking you to Shnonpedeng by Cleanest river of India : Umngot river.
Shnonpedeng is a hidden gem close to dawki village.  In this video we are doing boating, kayaking, cliff jumping and also experiencing the daily lifestyle of local people.
LIKE || COMMENT || SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
Find me on instagram: https://www.instagram.com/traveling_mondays/
Book your travel here: http://experiencedestination.com/ 
See you in next one.",2472785,78016,2403
2,UCTFz3noLGUS4vsuJvObRtuw,CN2l4LOrUkw,2020-03-18T14:47:00Z,Dzukou Valley | Northeast India : Nagaland,"Find me on instagram: https://www.instagram.com/traveling_mondays/ 
The Dzüko Valley is a valley located in borders of the state of Nagaland and Manipur in northeast India. This valley is well known for its natural environment, seasonal flowers and flora and fauna.
Come virtually experience Dzukou valley with me in this episode.
Thanks for watching ep 02 of my NAGALAND SERIES .
Book your travel here: http://experiencedestination.com/ 
MUSIC FROM : http://share.mscbd.fm/travelingmonday
LIKE || COMMENT || SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
Find me on instagram: https://www.instagram.com/traveling_mondays/",1677095,81646,4431
3,UCTFz3noLGUS4vsuJvObRtuw,AkC90RMaQYs,2021-05-17T03:30:01Z,My Kerala Story ft. Kerala Tourism | Cinematic Video : Traveling Mondays,"Find me on Instagram: https://www.instagram.com/traveling_mondays/
They say, Kerala is "" Gods own country "" and to feel this statement you need to vist kerala at least one in life. In this virtual travel experience, we are exploring varkala beach, kollam, alleppy houseboats, kumarkom bird century and more.
Hope you enjoyed the video, If you like my vibe ~ Subscribe:)
I will see you in next episode of Kerala, Bruh !!
Check out Myprotein here 
https://bit.ly/3bXpaf7
Use my code: MONDAYS to get an additional discount

Music  at 10:10 by 
mrinal : https://www.instagram.com/_mrinal_pandya_/
Vani :  https://instagram.com/vani.ramadas?igshid=4ucjvqcir14t

Rest of the Music from 
http://share.epidemicsound.com/Tm
http://share.mscbd.fm/travelingmonday

LIKE ~ COMMENT ~ SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))

Timecode
0:00 - Intro
0:50 - Heading Towards Kerela
1:34 - Uday Samudra
3:24 - Trip Bt Kerela Tourisom
5:20 - Varkala Beach
7:40 - Fragrant Nature
9:10 - Heading Towards Alappuzha
9:50 - Alape House Boat Trip
12:04 - Water Scapes
13:40 - Kumarakom
14:05 - Bird Cantuary Of Kumarakom
17:22 - Outro",1295775,39818,2887
4,UCTFz3noLGUS4vsuJvObRtuw,vzGxuaz7Iy8,2020-06-16T15:18:29Z,Famous vs Hidden Waterfalls of Meghalaya | Krang Suri vs Phe Phe |  Unseen Meghalaya EP 06,"Every destination has famous & hidden places to visit, As in this video we are going to explore a Famous waterfall ( Krang Suri ) & a Hidden waterfall ( Phe Phe ) in Unseen Meghalaya series about Northeast india.
I hope You will have fun watching this story & visually appealing vlog and i hope it will male you feel better in these panic situations across nations due to corona virus.
LIKE || COMMENT || SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
Find me on instagram: https://www.instagram.com/traveling_mondays/
Book your travel here: http://experiencedestination.com/ 
Music from 
http://share.mscbd.fm/travelingmonday
http://share.epidemicsound.com/Tm

See you in next episode of Unseen Meghalaya.",1221971,35952,1778
5,UCTFz3noLGUS4vsuJvObRtuw,kGpu4yvYra4,2021-02-25T13:47:34Z,Epic Drone Views of Kedarkantha Summit | Kedarkantha Trek in Winters Ep03 | Traveling Mondays,"The view which i saw from my drone at kedarkantha summit, latterly it gave me Goosebumps.  
So recently I got a chance to Travel to Uttarakhand and do this beautifull winter trek of kedarkantha with some of my friends and my youtube Subscribers and trust me it was awesome
My kedarkantha series will include three parts as "" Reaching Sankri Base Camp"" then ""reaching Juda ka taal "" and last one ""Reaching Kedarkantha Summit"". 
In this episode we are starting from Juda ka Taal and reaching kedarkantha base camp first and then same night we are hitting summit.
I hope you guys enjoyed watching this episode of kedarkantha series, It too lot of efforts to bring this to you.
Your Support is appreciated :)
Find me on Instagram: https://www.instagram.com/traveling_mondays/
Music from 
http://share.epidemicsound.com/Tm
http://share.mscbd.fm/travelingmonday

LIKE ~ COMMENT ~ SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
#bruharmy Lets Aim for 300k this time",1155215,38108,2919
6,UCTFz3noLGUS4vsuJvObRtuw,1Q0S_EZnZOQ,2020-10-01T15:10:57Z,Ultimate Jaisalmer Travel Guide | Sam Dunes Safari : History of Jaisalmer Fort | Traveling Mondays,"Almost a year ago I visited Jaisalmer, Rajasthan in winters and filmed my experiences around Camping in dessert, Sam Sand Dunes dessert Safari, Jaisalmer fort, Khaba fort, Gadisagar Lake, Kanhoi Village, Marudhara Village, and more and made a 2N/3D days Travel Guide to Jaisalmer. 
I hope you enjoyed the vibes of Jaisalmer and I hope this video will help you to plan your trip to Jaisalmer.
Anyone wants ""Jodhpur In a Day "" ? Let me know in comments.
I stayed at http://www.desertsafaricampjaisalmer.com/  
bheem singh contact : 9549803523
Bohre Khan  folk artist: 9828952207
Find me on Instagram: https://www.instagram.com/traveling_mondays/
Song kesariya Balam  by : https://www.instagram.com/gowritp._/?hl=en
Music by : https://www.youtube.com/watch?v=RM6a5vJtzDk&feature=youtu.be
LIKE || COMMENT || SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
#BruhArmy 200k Soon
Main Camera
https://amzn.to/32Ex2Mm
wide-angle lens
https://amzn.to/3b7I9Bt
prime lens
https://amzn.to/3jrurwm
laptop 
https://amzn.to/32tiNda 
gimbal 
https://amzn.to/31AewWa
on Camera mic
https://amzn.to/3hCkQ5i
Action Camera GoPro
https://amzn.to/3gHYbTL 
Music from 
http://share.mscbd.fm/travelingmonday
http://share.epidemicsound.com/Tm
Thanks for Love and Support.
Hurrey  !! We are 200k Strong now, Lets aim for #bruharmy reaching 300k before Diwali this year.
Thanks for Being here, See you in the next Video.",1119501,32371,1982
7,UCTFz3noLGUS4vsuJvObRtuw,vqsojDj6j_s,2020-11-04T13:26:19Z,Thrilling Bungee Jumping in Goa : Traveling Mondays | Goa Vlog in 2020,"Yes you read it right, Bunjee Jumping in Goa !!
After months of lockdown, Recently I got a chance to visit goa to experience Bunjee jumping.
It was such a thrilling experience, so this time again I am taking you along on a virtual tour to goa for the things you never heard about goa.
Book your Bunjee Jump in Goa here
http://jumpinheights.com/book-now/goa
Find me on Instagram: https://www.instagram.com/traveling_mondays/
LIKE ~ COMMENT ~ SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
Lets Aim for 300k Soon #bruharmy
Main Camera
https://amzn.to/32Ex2Mm
wide-angle lens
https://amzn.to/3b7I9Bt
prime lens
https://amzn.to/3jrurwm
laptop 
https://amzn.to/32tiNda 
gimbal 
https://amzn.to/31AewWa
on Camera mic
https://amzn.to/3hCkQ5i
Action Camera GoPro
https://amzn.to/3gHYbTL 
Music from 
http://share.mscbd.fm/travelingmonday
http://share.epidemicsound.com/Tm
Thanks for Love and Support.
See you in next one.",1032718,29716,1248
8,UCTFz3noLGUS4vsuJvObRtuw,lJyzByVH1oQ,2021-07-29T14:27:02Z,Chalo Sikkim : GuruDongmar Lake | North Sikkim : Cinematic Video  | Traveling Mondays,"The first 2,500 people to use this link will get a 1 month free trial of Skillshare- https://skl.sh/travelingmondays06212

If you have never been to Sikkim then let me take you on virtual travel experience to Gurudongmar lake in north Sikkim. 
In this episode, we are starting our journey from Gangtok and reaching Gurudongmar lake via Lachen.
Hope you enjoyed the video, i will see you in next one.

I Booked my north sikkim Tour with Etripto.in 
Whatsapp- https://wa.me/918917313559?text=TM+Sikkim+Packages
8917313559 / 9852299852  

Find me on Instagram: https://www.instagram.com/traveling_monday/
Music from 
http://share.epidemicsound.com/Tm
http://share.mscbd.fm/travelingmonday

LIKE ~ COMMENT ~ SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :)) #bruharmy #400ksoon

Timecodes
0:00 - Intro
0:37 - Gangtok
1:11 - Leaving For North Sikkim 
1:33 - Butterfly Waterfall
2:13 - Teesta River To Lachen Village
4:00 - SkillShare
5:21 - Lachen Village
7:30 - Beautiful Landscapes Of North Sikkim
10:51 - Heading Towards GuruDongmar
11:49 - GuruDongmar Lake
14:47 - Experience GuruDongmar Lake
16:45 - Outro",1008429,37837,2907
9,UCTFz3noLGUS4vsuJvObRtuw,MnYBd-a8snw,2020-03-11T03:30:00Z,MOST BEAUTIFUL VILLAGE OF INDIA ~ KHONOMA ( FIRST GREEN VILLAGE) | NAGALAND Tourism,"KHONOMA is also known as  FIRST GREEN VILLAGE OF ASIA.
This village is 20 km away from nagaland""s capital kohima.
I hope you enjoyed the virtual travel experience of khonoma nagaland .
Thanks for watching ep 02 of my NAGALAND SERIES .
Book your travel here: http://experiencedestination.com/ 
MUSIC FROM : http://share.mscbd.fm/travelingmonday
LIKE || COMMENT || SHARE
if you like my vibe, consider hitting 
SUBSCRIBE :))
Find me on instagram: https://www.instagram.com/traveling_mondays/",990837,25124,1340
